Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
2017-05-01 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",3011,1980,4580,3227,2448,4252,4275,3242,5637,3310,2519,4350,2874,2101,3931,1540,1159,2046
2017-06-01 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",3261,2239,4750,2998,2401,3742,4196,3429,5134,3411,2795,4164,3433,2349,5016,1564,1224,2000
2017-07-01 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2984,2015,4417,2399,1950,2951,4252,3547,5096,3303,2689,4057,3014,2132,4262,1633,1223,2179
2017-08-01 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2282,1634,3188,1778,1453,2175,2948,2540,3423,2518,1999,3170,2329,1716,3161,1444,1108,1882
2017-09-01 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2757,1759,4321,3143,2362,4183,4019,3051,5295,3401,2747,4211,2768,1891,4053,1562,1187,2056
2017-10-01 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",3052,1957,4759,3037,2365,3898,4092,3323,5039,3785,3021,4742,2937,2038,4232,1463,1106,1935
2017-11-01 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",3092,1974,4843,3193,2508,4064,4542,3758,5489,3373,2757,4126,3029,1999,4588,1437,1131,1827
2017-12-01 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",3164,2063,4854,3119,2442,3984,4392,3208,6013,3246,2594,4061,3292,2173,4985,1425,1105,1838
01/13/2017,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",3223,2100,4948,3074,2321,4071,4953,3971,6176,3315,2686,4093,3489,2434,4999,1478,1205,1812
01/14/2017,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2189,1609,2976,1960,1605,2393,2739,2087,3595,2315,1843,2908,2153,1614,2873,1603,1198,2144
01/15/2017,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2179,1610,2949,1785,1409,2261,2635,2204,3150,2358,1924,2891,2143,1612,2849,1416,1089,1843
01/16/2017,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2516,1644,3848,2876,2203,3754,3859,3129,4760,3060,2466,3796,2602,1819,3721,1529,1173,1994
01/17/2017,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2705,1779,4113,3074,2406,3926,3666,2874,4676,3050,2511,3705,2825,1950,4091,1560,1147,2120
01/18/2017,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2783,1720,4503,2991,2261,3957,4099,3229,5204,3136,2529,3889,2621,1794,3828,1487,863,2561
01/19/2017,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2981,1952,4554,2907,2315,3651,4238,3262,5507,3162,2491,4013,3201,2105,4867,1489,1193,1858
